Number,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
89,Khani,GE,73.4,41.96,42.96,60,0,18.34
90,Tautira,PF,80.6,-17.73,-149.15,69,75,6.93
91,Kapaa,US,83.14,22.08,-159.32,81,75,9.17
92,Oktyabrskiy,RU,40.48,55.61,37.97,86,0,6.71
93,Buala,SB,84.14,-8.15,159.59,85,32,4.16
94,Chokurdakh,RU,36.17,70.62,147.9,95,76,14.45
95,Mehamn,NO,37.07,71.03,27.85,85,80,15.46
96,Provideniya,RU,51.8,64.42,-173.23,87,90,8.95
97,Longyearbyen,NO,30.2,78.22,15.63,68,75,8.05
98,Bluff,AU,82.79,-23.58,149.07,23,0,12.44
99,Biak,ID,82.7,-0.91,122.88,80,20,6.51
100,Cajamarca,PE,51.56,-7.16,-78.52,98,88,1.92
101,Pimentel,BR,78.56,-3.7,-45.5,79,0,5.61
102,Sistranda,NO,41,63.73,8.83,86,75,4.7
104,Jose Bonifacio,BR,77,-21.05,-49.69,65,0,2.24
105,Mankono,CI,73.7,8.06,-6.19,97,88,7.07
107,Broken Hill,AU,80.81,-31.97,141.45,32,48,10.98
108,Valparaiso,US,74.17,41.47,-87.06,61,40,9.17
109,Margate,AU,60.8,-43.03,147.26,59,40,13.87
110,Mackenzie,CA,32,55.34,-123.09,71,90,6.93
111,Pevek,RU,43.37,69.7,170.27,95,92,2.15
113,Samarai,PG,76.13,-10.62,150.67,100,92,14.67
114,Quatre Cocos,MU,71.6,-20.21,57.76,78,75,11.41
115,Garden City,US,68.27,40.73,-73.63,89,20,4.7
116,Stege,DK,44.6,54.99,12.28,93,56,10.29
117,Codrington,AU,69.2,-28.95,153.24,66,24,6.17
118,Puro,PH,84.68,13.13,123.76,86,48,5.17
119,Lahat,ID,91.07,-3.78,103.55,47,0,7.85
120,San Quintin,PH,87.8,17.54,120.52,38,20,6.93
121,Yamada,JP,71.19,36.58,137.08,72,75,4.7
122,Gouyave,GD,82.4,12.16,-61.73,83,20,11.41
123,Karasuk,RU,42.11,53.73,78.03,80,76,7.07
124,Arman,RU,51.8,59.7,150.17,43,20,8.95
125,Pavlovsk,RU,44.6,53.31,82.99,100,75,4.47
126,Saint-Philippe,CA,47.46,45.36,-73.48,93,90,6.62
127,Svetlogorsk,RU,33.8,53.14,59.15,74,0,4.47
128,Yellowknife,CA,30.2,62.45,-114.38,63,40,9.17
129,Beirut,LB,79.73,33.9,35.48,100,0,2.04
130,Ouesso,CG,69.2,1.61,16.05,100,92,2.93
131,Bethel,US,50,60.79,-161.76,82,90,11.41
132,Atuona,PF,79.73,-9.8,-139.03,100,0,12.44
133,Kariba,ZW,67.85,-16.53,28.78,69,0,8.41
134,Manzhouli,CN,55.97,49.6,117.43,44,0,9.19
135,Marawi,PH,79.37,8,124.29,81,48,3.04
136,Port Shepstone,ZA,68.66,-30.74,30.45,92,64,5.5
137,Mataura,NZ,50.75,-46.19,168.86,73,20,14
138,Baoqing,CN,59.39,46.32,132.2,57,8,10.54
139,Knysna,ZA,57.2,-34.04,23.05,71,8,14.99
140,Mwinilunga,ZM,66.77,-11.73,24.43,50,44,4.83
141,Sawai Madhopur,IN,84.68,26.02,76.35,51,0,4.38
142,Mlonggo,ID,87.74,-6.53,110.7,69,0,5.61
143,Rudnogorsk,RU,55.43,57.27,103.75,59,8,5.61
144,Butaritari,KI,84.5,3.07,172.79,100,76,3.71
145,Luanda,AO,73.4,-8.83,13.24,88,75,5.82
146,Mezhdurechensk,RU,48.41,53.69,88.07,78,92,2.93
147,Norman Wells,CA,32,65.28,-126.83,97,75,10.29
148,Cabo San Lucas,MX,80.6,22.89,-109.91,83,40,6.93
149,Praia da Vitoria,PT,71.6,38.73,-27.07,83,40,19.04
150,Rio Grande,BR,58.13,-32.03,-52.1,98,32,15.79
151,Vanimo,PG,84.68,-2.67,141.3,100,0,14.67
153,Alta Floresta,BR,75.86,-9.87,-56.08,92,0,2.15
154,Sitka,US,76.58,37.17,-99.65,51,0,13.89
156,Katsuura,JP,68,33.93,134.5,64,75,5.82
157,Ribeira Grande,PT,73.7,38.52,-28.7,95,56,19.93
158,Chifeng,CN,61.37,42.27,118.96,46,0,6.73
159,Lebu,ET,50,8.96,38.73,81,75,3.36
162,Hofn,IS,40.22,64.25,-15.21,100,0,14.79
163,Labuhan,ID,86.84,-2.54,115.51,70,12,1.7
164,Camopi,GF,78.92,3.17,-52.33,73,8,3.83
165,Bathsheba,BB,80.6,13.22,-59.52,78,40,11.41
166,Tuktoyaktuk,CA,28.4,69.44,-133.03,86,75,6.93
167,Dunmore East,IE,57.77,52.15,-6.99,96,56,15.79
168,Vila Velha,BR,78.8,-3.71,-38.6,74,20,18.34
169,Coquimbo,CL,51.8,-29.95,-71.34,81,0,8.75
170,Auki,NG,70.28,12.18,6.51,92,0,3.04
171,Bredasdorp,ZA,55.4,-34.53,20.04,82,36,6.93
172,Nanortalik,GL,35.27,60.14,-45.24,98,44,1.7
173,Hithadhoo,MV,78.11,-0.6,73.08,100,88,17.47
174,Shingu,JP,75.2,33.72,135.99,47,40,8.05
175,San Benito Abad,CO,76.31,8.93,-75.03,100,56,2.59
176,Pokosnoye,RU,61.1,55.53,101.05,48,24,3.94
177,Aklavik,CA,35.6,68.22,-135.01,64,40,5.82
178,Faanui,PF,77.03,-16.48,-151.75,100,64,15.57
180,Chapais,CA,32,49.78,-74.86,83,90,5.5
181,Mount Isa,AU,89.6,-20.73,139.49,22,32,14.99
182,Bilma,NE,72.35,18.69,12.92,27,0,4.5
183,Saint-Joseph,FR,54.28,43.56,6.97,81,0,4.7
185,Nishihara,JP,76.1,35.74,139.53,38,75,1.12
186,Puerto Ayora,EC,70.55,-0.74,-90.35,100,8,11.65
187,Berlevag,NO,37.07,70.86,29.09,98,80,17.02
188,Bhusawal,IN,83.24,21.05,75.78,72,0,4.61
189,Bedesa,ET,48.41,8.9,40.78,87,0,2.93
190,Yabelo,ET,56.15,4.89,38.09,85,12,6.06
192,Talnakh,RU,31.76,69.49,88.39,100,12,6.73
193,San Andres,PH,82.25,13.32,122.68,100,36,14.23
194,Tiksi,RU,28.79,71.64,128.87,100,64,8.08
195,Chuy,UY,50.39,-33.69,-53.46,92,0,11.32
196,Merrill,US,53.06,42.03,-121.6,82,90,3.71
197,Abnub,EG,75.2,27.27,31.15,69,0,6.93
200,Tuatapere,NZ,46.79,-46.13,167.69,100,12,11.54
201,Flinders,AU,73.4,-34.58,150.85,46,20,12.75
202,Constantine,DZ,55.4,36.36,6.61,93,75,6.93
203,Alice Springs,AU,91.4,-23.7,133.88,13,75,10.29
204,Soria,ES,37.43,41.76,-2.46,86,0,5.5
205,Comodoro Rivadavia,AR,51.8,-45.87,-67.48,37,0,11.41
206,Grindavik,IS,40.28,63.84,-22.43,100,75,34.45
207,Egvekinot,RU,46.97,66.32,-179.17,100,88,6.06
208,Waipawa,NZ,59.3,-39.94,176.59,57,8,18.7
209,Ahipara,NZ,58.13,-35.17,173.16,90,80,5.61
210,Sibolga,ID,76.4,1.74,98.78,91,44,1.7
211,Nanchang,CN,77.3,28.68,115.89,53,24,7.4
212,Hualmay,PE,58.4,-11.1,-77.61,89,24,3.83
213,Sao Filipe,CV,77.21,14.9,-24.5,100,64,12.77
214,Charters Towers,AU,77.3,-20.07,146.27,59,0,13.22
215,Asind,IN,84.86,25.73,74.33,56,76,2.93
217,Puerto Colombia,CO,78.8,10.99,-74.96,100,40,3.49
218,Nemuro,JP,55.4,43.32,145.57,93,75,13.87
219,Kahului,US,84.16,20.89,-156.47,74,40,9.17
220,Porto Novo,BR,66.2,-23.68,-45.44,93,0,2.24
221,Morro Bay,US,66.6,35.37,-120.85,62,1,9.17
222,Nouadhibou,MR,73.4,20.93,-17.03,78,0,12.75
223,Arak,IR,44.81,34.1,49.69,94,0,2.71
224,Misratah,LY,73.88,32.38,15.09,99,80,10.65
225,Pucallpa,PE,78.8,-8.38,-74.54,78,75,2.24
226,Spornoye,RU,46.4,50.84,37.29,93,75,8.95
227,Yumen,CN,53.45,40.29,97.04,37,0,4.5
228,Hamilton,CA,52.74,43.26,-79.87,93,90,10.29
229,San Vicente,SV,72.5,13.64,-88.78,94,75,1.59
230,Torbay,CA,46.4,47.66,-52.73,100,75,9.17
231,Severo-Kurilsk,RU,47.15,50.68,156.12,96,48,16.02
232,Port Alfred,ZA,63.89,-33.59,26.89,100,64,12.77
233,Hasaki,JP,76.87,35.73,140.83,41,20,4.7
234,Arlit,NE,78.74,18.74,7.39,20,64,7.07
236,Roald,NO,39.67,62.58,6.12,87,92,8.05
237,Naryan-Mar,RU,36.8,67.67,53.09,100,36,9.42
238,Jacareacanga,BR,80.63,-6.22,-57.76,79,8,1.81
239,Victoria,BN,87.82,5.28,115.24,79,75,4.7
240,Iqaluit,CA,28.4,63.75,-68.52,74,90,3.36
241,Littlehampton,GB,50,50.81,-0.54,76,75,8.05
242,Huarmey,PE,62.9,-10.07,-78.15,74,88,3.15
243,Kargil,PK,21.68,34.56,76.13,78,20,1.81
244,Thompson,CA,32,55.74,-97.86,83,75,6.93
245,Sechura,PE,67.13,-5.56,-80.82,85,20,11.43
246,Fairbanks,US,64.36,64.84,-147.72,6,1,10.29
247,Palatka,US,76.77,29.65,-81.64,100,90,3.36
248,Marsh Harbour,BS,81.8,26.54,-77.06,100,68,18.14
249,Leighton Buzzard,GB,51.53,51.92,-0.66,76,90,17.22
250,Salalah,OM,71.6,17.01,54.1,78,0,4.7
251,Geraldton,CA,35.6,49.72,-86.95,74,90,4.7
252,Khandyga,RU,35.9,62.65,135.58,60,56,1.81
253,Padang,ID,79.91,-0.92,100.36,100,92,8.63
254,Port Elizabeth,US,69.26,39.31,-74.98,84,1,8.05
255,San Policarpo,PH,84.05,12.18,125.51,94,80,8.19
256,Anadyr,RU,44.6,64.73,177.51,100,90,8.95
257,Lagoa,PT,71.6,37.14,-8.45,49,0,3.36
258,Shevchenkove,UA,50,49.7,37.18,87,75,8.95
259,Nelson Bay,AU,73.4,-32.72,152.14,35,0,9.17
260,Durango,US,61.14,37.28,-107.88,77,75,4.7
261,Belmonte,PT,50.3,40.36,-7.35,55,64,5.95
262,Dicabisagan,PH,77.03,17.08,122.42,100,80,10.65
263,Severodvinsk,RU,41,64.56,39.82,100,40,6.71
264,Kamyaran,IR,52.57,34.8,46.94,27,0,4.7
265,Maua,KE,58.04,0.23,37.94,85,36,4.72
266,Sept-Iles,CA,30.2,50.2,-66.38,86,5,4.7
267,Hami,CN,62.27,42.84,93.51,40,0,8.86
268,Yulara,AU,84.2,-25.24,130.99,21,68,13.87
269,Pangnirtung,CA,27.17,66.15,-65.72,93,80,11.77
271,Lavrentiya,RU,45.62,65.58,-170.99,93,92,17.36
273,Sisimiut,GL,30.05,66.94,-53.67,99,92,7.74
274,Kalachinsk,RU,42.38,55.05,74.58,74,56,8.63
275,San Antonio,CL,46.4,-33.58,-71.61,87,0,3.36
276,Mahebourg,MU,71.6,-20.41,57.7,78,75,11.41
277,Calatrava,PH,87.8,10.6,123.48,70,40,8.05
278,Jhargram,IN,88.82,22.45,86.99,70,0,5.17
279,Hambantota,LK,80.45,6.12,81.12,100,68,12.1
280,Mount Gambier,AU,74.15,-37.83,140.78,53,64,9.08
281,Blackfoot,US,55.99,43.19,-112.35,6,1,3.36
282,San Angelo,US,71.96,31.46,-100.44,78,1,5.82
283,Byron Bay,AU,73.4,-28.65,153.62,46,0,18.34
284,Mokrousovo,RU,37.88,55.81,66.77,84,12,11.32
285,Saint George,GR,57.2,39.45,22.34,71,20,3.36
286,Georgetown,GY,78.8,6.8,-58.16,88,0,6.93
289,Ilulissat,GL,32,69.22,-51.1,100,75,13.87
290,Tibiri,NE,72.89,13.59,7.06,91,12,8.63
291,Karratha,AU,87.2,-20.74,116.85,26,36,8.63
293,Zhigansk,RU,35.45,66.77,123.37,89,88,3.71
295,Tecpan,GT,66.2,14.76,-90.99,82,75,13.87
296,Vestmannaeyjar,IS,42.83,63.44,-20.27,98,76,30.11
297,Lompoc,US,62.04,34.64,-120.46,83,1,6.93
298,Sabaudia,IT,59,41.3,13.03,77,0,4.7
299,Batagay-Alyta,RU,27.53,67.8,130.41,75,0,3.38
300,Rio Gallegos,AR,37.4,-51.62,-69.22,74,0,19.46
301,Oistins,BB,80.6,13.07,-59.53,78,40,11.41
302,Muros,ES,51.8,42.77,-9.06,81,0,4.7
303,San Jeronimo,PE,38.51,-13.65,-73.37,89,24,1.92
304,Key West,US,42.55,47.93,-96.78,78,40,8.05
305,Kavieng,PG,84.23,-2.57,150.8,100,48,6.17
306,Tocopilla,CL,56.6,-22.09,-70.2,100,32,1.14
307,Russell,AR,48.2,-33.01,-68.8,57,0,4.7
308,Luwuk,ID,82.7,-0.95,122.79,80,20,6.51
309,Bela,PK,64.25,26.23,66.31,47,0,2.59
310,Songjianghe,CN,51.83,42.18,127.48,82,0,3.94
311,High Rock,BS,82.7,26.63,-78.28,100,92,17.02
312,Constitucion,MX,68,23.99,-104.67,60,75,5.82
313,Sandwick,GB,51.8,54.57,-2.89,100,90,29.97
314,Te Anau,NZ,43.19,-45.41,167.72,100,92,4.05
315,Vao,EE,45.44,59.1,26.19,100,88,5.39
316,Saint-Pierre,FR,44.8,48.95,4.24,81,0,5.82
318,Kijang,KR,66.2,35.24,129.21,55,40,9.17
319,Alugan,PH,84.05,12.22,125.48,94,80,8.19
320,Carroll,AU,77,-30.99,150.44,17,0,5.82
321,Acapulco,MX,80.6,16.86,-99.88,78,75,3.36
322,San Juan Evangelista,MX,82.4,17.88,-95.14,74,75,11.41
323,Galle,US,75.9,29.74,-97.91,84,75,5.82
324,Xam Nua,LA,70.37,20.42,104.04,62,8,3.71
325,Anaconda,US,55.94,46.13,-112.94,43,90,2.82
326,San Cristobal,EC,55.4,-0.39,-78.55,76,40,5.82
327,Los Llanos de Aridane,ES,71.6,28.66,-17.92,78,12,8.05
328,Warmbad,DE,41.99,50.67,13.08,81,56,8.05
329,Beloha,MG,60.29,-25.17,45.06,77,0,10.42
330,Bonavista,CA,47.51,48.65,-53.11,100,0,19.48
331,Synya,RU,39.68,65.37,58.04,96,92,7.96
332,Ponta Delgada,PT,71.6,37.73,-25.67,73,75,12.75
333,Hillsborough,US,66.52,37.57,-122.38,87,75,5.82
334,Fortuna,ES,67.12,38.18,-1.13,82,20,3.36
335,Kaka,TM,48.86,37.35,59.62,69,0,2.37
336,Price,US,64.04,39.6,-110.81,64,75,8.05
337,Half Moon Bay,US,67.62,37.46,-122.43,65,75,8.05
338,Kuryk,KZ,57.95,43.18,51.68,79,0,10.87
339,Ossora,RU,46.16,59.24,163.07,100,92,16.69
340,Narsaq,GL,33.8,60.91,-46.05,37,32,17.22
342,Luderitz,NA,56.96,-26.65,15.16,75,0,21.61
343,Saurimo,AO,66.77,-9.66,20.4,68,92,2.37
344,Saint-Louis,CH,43.57,47.59,7.56,87,75,3.36
345,Hachinohe,JP,64.97,40.47,141.48,65,0,14.9
346,Port Lincoln,AU,67.04,-34.72,135.86,83,36,2.93
347,Masaurhi,IN,79.84,25.35,85.03,70,0,4.61
348,Maxixe,MZ,67.13,-23.86,35.35,100,0,8.63
349,Umm Kaddadah,SD,73.79,13.6,26.69,55,0,7.63
350,Alofi,NU,78.8,-19.06,-169.92,57,75,20.8
353,Kibala,TD,73.4,9.11,18.35,94,20,10.42
354,Nacala,MZ,72.17,-14.56,40.69,100,0,5.95
355,Panzhihua,CN,57.14,26.59,101.72,100,92,2.59
356,Chernyshevskiy,RU,42.38,63.01,112.47,85,56,4.27
357,Surt,LY,74.15,31.21,16.59,100,44,12.77
358,Uzhur,RU,47.6,55.32,89.85,79,92,6.62
359,Donskoy,RU,64.16,47.12,39.32,58,8,15.01
360,Thunder Bay,CA,41,48.41,-89.26,86,75,2.24
361,Ushtobe,KZ,65.51,45.25,77.98,51,48,5.61
362,Gorshechnoye,RU,43.91,51.52,38.03,84,92,9.64
363,Dickinson,US,46.94,46.88,-102.79,86,1,9.17
364,Bembereke,BJ,70.1,10.23,2.66,95,48,6.4
365,Tura,IN,75.14,25.52,90.21,95,32,4.27
367,Baraki Barak,AF,60.8,33.97,68.95,31,0,3.36
368,Caravelas,BR,76.94,-17.73,-39.27,100,92,17.58
369,Lata,IN,57.23,30.78,78.62,74,0,2.04
370,Cap Malheureux,MU,71.6,-19.98,57.61,78,75,11.41
371,Karpathos,GR,68,35.51,27.21,77,32,6.93
372,Iracoubo,GF,79.28,5.48,-53.21,80,36,5.61
373,Mae Ramat,TH,78.8,16.98,98.52,83,75,2.93
374,Pitimbu,BR,71.6,-7.47,-34.81,83,0,4.7
375,Sur,OM,84.41,22.57,59.53,88,0,5.17
376,Ketchikan,US,58.64,55.34,-131.65,6,1,11.41
377,Guadalajara,ES,52.81,40.63,-3.16,53,0,5.82
379,Vostok,RU,50.48,46.45,135.83,59,0,4.61
380,Sulzbach-Rosenberg,DE,40.14,49.5,11.75,97,90,6.06
381,Tilichiki,RU,43.91,60.47,166.1,96,92,15.35
382,Lamu,ID,86.21,0.57,122.3,66,0,4.38
384,Naze,NG,73.16,5.43,7.07,99,92,2.48
386,Port-Gentil,GA,76.4,-0.72,8.78,100,92,8.3
387,Lazaro Cardenas,MX,68,28.39,-105.62,77,75,3.04
388,Cyangugu,CD,64.16,-2.49,28.9,97,92,1.36
389,Vershino-Darasunskiy,RU,52.55,52.35,115.52,43,8,4.16
390,Aksu,KZ,42.8,52.04,76.93,100,90,4.47
391,Fernie,CA,53.6,49.5,-115.06,58,75,12.75
392,Rocha,UY,39.32,-34.48,-54.34,85,0,3.94
393,Mogadishu,SO,77.66,2.04,45.34,100,76,13.22
394,Bandarbeyla,SO,76.31,9.49,50.81,97,8,16.02
395,Souillac,FR,42.8,45.6,-0.6,75,0,3.71
396,Srednekolymsk,RU,36.71,67.46,153.71,69,48,6.73
398,Saldanha,PT,51.11,41.42,-6.55,60,24,10.42
399,Motygino,RU,47.96,58.18,94.69,69,76,9.64
400,Goksun,TR,62.6,38.02,36.5,63,0,4.7
401,Severomuysk,RU,37.88,56.17,113.57,62,36,2.59
402,Sorong,ID,81.62,-0.86,131.25,100,64,6.29
403,Apricena,IT,67.4,41.78,15.44,100,56,8.41
404,Conakry,GN,77.03,9.52,-13.7,100,80,6.73
406,Grenada,US,73.94,33.77,-89.81,93,1,3.15
407,Hajiganj,BD,87.11,23.25,90.85,75,0,4.38
409,The Valley,AI,80.6,18.22,-63.06,74,20,3.38
411,Northam,GB,55.4,51.04,-4.21,93,92,19.46
412,Moron,VE,71.63,10.49,-68.2,92,80,2.37
413,Bure,NG,72.53,10.52,10.33,88,20,7.4
414,Sikonge,TZ,66.86,-5.63,32.75,55,56,12.77
415,Goundam,ML,77.93,16.42,-3.66,59,0,0.58
416,Komsomolskiy,RU,31.85,67.55,63.78,91,92,14.45
417,Natal,BR,77,-5.81,-35.21,69,20,8.05
418,Tabou,CI,78.2,4.42,-7.36,100,92,10.98
419,Aksarayskiy,RU,51.8,46.79,48.01,66,0,11.18
420,Tommot,RU,38.96,58.97,126.27,92,92,5.73
421,Noumea,NC,78.8,-22.28,166.46,57,75,11.41
422,Kudahuvadhoo,MV,79.37,2.67,72.89,100,92,20.83
423,Mikuni,JP,73.4,36.22,136.15,53,40,10.29
424,Miguel Auza,MX,63.53,24.29,-103.45,48,48,5.73
425,Victor Harbor,AU,84.2,-35.55,138.62,7,0,18.34
426,Kovdor,RU,25.28,67.56,30.47,89,0,2.93
427,General Roca,AR,51.8,-39.03,-67.58,32,0,11.41
428,Foumbot,CM,66.14,5.51,10.64,95,88,3.38
429,Blackwater,GB,50.79,51.33,-0.78,81,75,17.22
430,Yuxia,CN,66.2,34.06,108.63,45,0,2.24
432,Okhotsk,RU,45.8,59.36,143.24,83,0,4.27
433,Clyde River,CA,24.8,70.47,-68.59,92,90,12.75
434,Ambilobe,MG,69.47,-13.19,49.05,75,0,10.54
435,Tual,ID,81.53,-5.67,132.75,95,44,14.79
436,Faya,SA,62.6,18.39,42.45,33,0,4.7
437,Isla Mujeres,MX,75.2,21.23,-86.73,88,75,5.82
438,Axim,GH,77.93,4.87,-2.24,99,92,10.42
440,Agirish,RU,39.23,61.92,63.02,95,32,6.73
441,Karanja,IN,82.43,20.48,77.49,71,8,4.61
442,Kindu,CD,71.09,-2.95,25.92,98,88,2.15
443,Aktau,KZ,51.8,43.65,51.16,53,0,11.18
444,Lufkin,US,70.95,31.34,-94.73,97,1,3.36
446,Qandala,SO,67.31,11.47,49.87,99,0,4.16
447,Banepa,NP,66.2,27.63,85.52,88,20,2.24
450,Baculin,PH,84.41,7.45,126.58,86,20,7.52
451,Deputatskiy,RU,28.34,69.3,139.9,91,88,12.77
452,Kathmandu,NP,66.2,27.71,85.32,88,20,2.24
453,Vardo,US,69.3,39.62,-77.74,76,1,9.17
455,Sai Buri,TH,85.01,6.7,101.62,70,20,5.82
456,Kailua,US,83.71,21.39,-157.74,79,1,6.93
457,Magdagachi,RU,52.01,53.45,125.8,47,8,10.98
460,Yerbogachen,RU,44.45,61.28,108.01,60,56,7.29
461,Jumla,NP,41.93,29.28,82.18,91,0,1.92
462,Terrace Bay,CA,42.65,48.78,-87.1,100,0,6.73
463,Kotri,PK,77.57,25.36,68.31,90,0,10.54
464,Bielsk Podlaski,PL,40.76,52.77,23.19,78,64,6.62
465,Waingapu,ID,87.47,-9.65,120.26,54,8,11.54
466,Nioro,GM,75.23,13.79,-15.05,95,32,6.51
468,Meadow Lake,CA,30.77,54.13,-108.44,77,88,3.15
469,Bahia Blanca,AR,47.6,-38.72,-62.27,67,12,15.79
470,Cap-aux-Meules,CA,48.2,47.38,-61.86,70,20,9.17
471,Cherskiy,RU,44.27,68.75,161.3,68,56,2.71
472,Ixtapa,MX,84.2,20.71,-105.21,79,75,1.92
473,Hanko,FI,46.7,59.83,22.95,100,88,5.61
474,Rantoul,US,72.68,40.31,-88.16,74,1,8.05
475,Sambava,MG,71.9,-14.27,50.17,100,88,16.24
476,Birin,SY,58.4,35.01,36.67,87,0,2.93
477,Xanlar,AZ,64.4,40.56,46.33,77,75,4.7
479,Honningsvag,NO,37.4,70.98,25.97,59,75,18.34
480,Kokkola,FI,37.4,63.84,23.13,100,75,5.82
481,Paita,PE,66.23,-5.09,-81.11,86,20,6.17
482,Matagami,NG,63.98,9.67,8.4,93,56,3.38
483,Abbeville,FR,52.48,50.11,1.83,67,90,11.41
484,Boca do Acre,BR,78.47,-8.76,-67.39,88,8,2.15
486,Saint-Augustin,FR,41.79,44.83,-0.61,93,0,2.24
487,Finschhafen,PG,82.88,-6.6,147.85,70,8,3.6
488,Hobyo,SO,74.78,5.35,48.53,94,68,13
489,Illescas,ES,52.84,40.12,-3.85,53,0,5.82
490,Tessalit,ML,80,20.2,1.01,34,36,9.98
492,Lensk,RU,43.1,60.71,114.91,81,64,5.95
